"","X.1","X","desigcomercial","numbicicletas","numdocasvacias","time","add_data","add_hora","nrEstacao","estacao","lat","lng","TS","volume","maxBikes","nDocas","prob","retiradas","devolvidas"
"32",32,34543,"487 - Rua Professor João Barreira",2,12,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:14:55",487,"Rua Professor João Barreira",38.76136,-9.17096,"2020-09-28 11:15:29",-1,6,14,43,6,-3
"33",33,34570,"216 - Praça D. Luís I",16,5,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:15:00",216,"Praça D. Luís I",38.70663,-9.14655,"2020-09-28 11:15:29",-1,16,21,76,5,-13
"34",34,34577,"219 - Praça do Município",15,7,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:14:55",219,"Praça do Município",38.70797,-9.13951,"2020-09-28 11:15:29",-2,17,22,77,2,-12
"35",35,34581,"417 - Av. Duque de Ávila / Jardim Arco Do Cego",4,19,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:14:59",417,"Av. Duque de Ávila / Jardim Arco Do Cego",38.735352,-9.142703,"2020-09-28 11:15:29",-2,6,23,26,8,-9
"36",36,34599,"450 - Rua Alfredo Cortês",1,9,"2020-10-15 11:15:29","2020-09-28","2020-10-15 10:15:00",450,"Rua Alfredo Cortês",38.74626,-9.14399,"2020-09-28 11:15:29",-1,6,10,60,6,-1
"37",37,35946,"101 - Alameda dos Oceanos / Rua dos Argonautas",11,5,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",101,"Alameda dos Oceanos / Rua dos Argonautas",38.756161,-9.096804,"2020-09-28 11:35:44",-1,15,16,94,5,-5
"38",38,35981,"480 - Faculdade de Ciências",13,12,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",480,"Faculdade de Ciências",38.75587,-9.15503,"2020-09-28 11:35:44",-1,16,25,64,2,-13
"39",39,35984,"414 - Av. Duque de Ávila / Rua Pinheiro Chagas",5,14,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",414,"Av. Duque de Ávila / Rua Pinheiro Chagas",38.735,-9.151,"2020-09-28 11:35:44",-2,6,19,32,0,-5
"40",40,35989,"428 - Av. República / Avenida Barbosa Du Bocage",6,6,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:55",428,"Av. República / Avenida Barbosa Du Bocage",38.74047,-9.14684,"2020-09-28 11:35:44",-1,6,12,50,2,-5
"41",41,35992,"433 - Av. Paris / Av. Almirante Reis",1,13,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",433,"Av. Paris / Av. Almirante Reis",38.74095,-9.13409,"2020-09-28 11:35:44",-1,9,14,64,7,-1
"42",42,36002,"456 - Entrecampos / Av. das Forças Armadas",27,14,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",456,"Entrecampos / Av. das Forças Armadas",38.74877,-9.14872,"2020-09-28 11:35:44",-2,28,41,68,7,-19
"43",43,36003,"304 - Avenida da Liberdade / São Jorge",11,5,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",304,"Avenida da Liberdade / São Jorge",38.72026,-9.14637,"2020-09-28 11:35:44",-1,15,16,94,6,-13
"44",44,36004,"485 - Rua Tomás da Fonseca / Rua António Albino Machado",2,8,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",485,"Rua Tomás da Fonseca / Rua António Albino Machado",38.756,-9.17,"2020-09-28 11:35:44",-1,5,10,50,5,-3
"45",45,36007,"222 - Praça da Figueira",26,4,"2020-10-15 11:35:44","2020-09-28","2020-10-15 10:34:57",222,"Praça da Figueira",38.71383,-9.13828,"2020-09-28 11:35:44",-3,30,30,100,0,-15
"46",46,37362,"107 - Rotunda dos Vice-Reis",4,10,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:55:05",107,"Rotunda dos Vice-Reis",38.774505,-9.095416,"2020-09-28 11:55:39",-3,9,14,64,3,-3
"47",47,37381,"419 - Av. António José de Almeida / Instituto Superior Técnico",12,13,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:54:56",419,"Av. António José de Almeida / Instituto Superior Técnico",38.73811,-9.13956,"2020-09-28 11:55:39",-2,12,25,48,2,-13
"48",48,37385,"403 - Av. Fontes Pereira de Melo",10,10,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:54:56",403,"Av. Fontes Pereira de Melo",38.731698,-9.146522,"2020-09-28 11:55:39",-1,12,20,60,1,-10
"49",49,37387,"442 - Campo Pequeno",3,13,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:54:57",442,"Campo Pequeno",38.743371,-9.14523,"2020-09-28 11:55:39",-1,7,16,44,8,-5
"50",50,37388,"416 - Av. República / Avenida Duque de Ávila",5,11,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:54:57",416,"Av. República / Avenida Duque de Ávila",38.735304,-9.14553,"2020-09-28 11:55:39",-2,6,16,38,7,-8
"51",51,37390,"462 - Campo Grande / Biblioteca Nacional",29,0,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:54:58",462,"Campo Grande / Biblioteca Nacional",38.75027,-9.15031,"2020-09-28 11:55:39",-1,29,29,100,0,-12
"52",52,37426,"307 - Marquês de Pombal",24,9,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:54:58",307,"Marquês de Pombal",38.724954,-9.149334,"2020-09-28 11:55:39",-1,31,33,94,2,-23
"53",53,37432,"452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros",3,7,"2020-10-15 11:55:39","2020-09-28","2020-10-15 10:55:05",452,"Rua Teixeira de Pascoais / Rua Dr. Gama Barros",38.747751,-9.136681,"2020-09-28 11:55:39",-2,8,10,80,3,-4
"54",54,38763,"443 - Av. de Roma / Fórum Lisboa",4,10,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:57",443,"Av. de Roma / Fórum Lisboa",38.74351,-9.13866,"2020-09-28 12:15:28",-2,9,14,64,10,-5
"55",55,38768,"432 - Praça de Londres",3,7,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:59",432,"Praça de Londres",38.7407,-9.1377,"2020-09-28 12:15:28",-2,9,10,90,8,-5
"56",56,38769,"115 - Passeio dos Heróis do Mar / Rua Capitão Cook",11,1,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:59",115,"Passeio dos Heróis do Mar / Rua Capitão Cook",38.793,-9.09781,"2020-09-28 12:15:28",-1,12,12,100,4,-3
"57",57,38784,"413 - Av. Ressano Garcia / Av. António Augusto de Aguiar",7,3,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:58",413,"Av. Ressano Garcia / Av. António Augusto de Aguiar",38.73432,-9.15425,"2020-09-28 12:15:28",-4,10,10,100,5,-10
"58",58,38785,"208 - Cais das Pombas",12,10,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:58",208,"Cais das Pombas",38.70523,-9.14373,"2020-09-28 12:15:28",-1,15,22,68,5,-2
"59",59,38788,"453 - Av. Roma / Av. EUA",2,12,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:59",453,"Av. Roma / Av. EUA",38.74873,-9.14207,"2020-09-28 12:15:28",-1,5,14,36,4,-1
"60",60,38796,"214 - Largo de Santos",12,12,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:57",214,"Largo de Santos",38.70673,-9.15424,"2020-09-28 12:15:28",-1,20,24,83,11,-6
"61",61,38816,"427 - Av. República / Av. Visconde Valmor",1,11,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:57",427,"Av. República / Av. Visconde Valmor",38.73812,-9.14617,"2020-09-28 12:15:28",-1,7,12,58,9,-7
"62",62,38822,"102 - Porta do Mar",9,5,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:15:00",102,"Porta do Mar",38.759156,-9.096439,"2020-09-28 12:15:28",-5,13,14,93,3,-5
"63",63,38832,"225 - Martim Moniz",6,10,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:59",225,"Martim Moniz",38.71526,-9.13694,"2020-09-28 12:15:28",-1,16,16,100,11,-3
"64",64,38839,"406 - Praça Duque de Saldanha",5,12,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:57",406,"Praça Duque de Saldanha",38.734247,-9.145341,"2020-09-28 12:15:28",-1,7,17,41,3,-7
"65",65,38842,"112 - Alameda dos Oceanos / Passeio das Garças",3,11,"2020-10-15 12:15:28","2020-09-28","2020-10-15 11:14:58",112,"Alameda dos Oceanos / Passeio das Garças",38.78069,-9.09622,"2020-09-28 12:15:28",-2,13,14,93,7,-3
